Date,AAPL,AMZN,GOOGL,MSFT,TSLA
2018-01-02,40.30418014526367,59.45050048828125,53.22062683105469,78.87035369873047,21.368667602539062
2018-01-03,40.297157287597656,60.209999084472656,54.128623962402344,79.23738861083984,21.149999618530273
2018-01-04,40.48433303833008,60.47949981689453,54.338890075683594,79.93482208251953,20.974666595458984
2018-01-05,40.94524383544922,61.457000732421875,55.05943298339844,80.92586517333984,21.10533332824707
2018-01-08,40.79318618774414,62.34349822998047,55.25382614135742,81.0084228515625,22.42733383178711
2018-01-09,40.78848648071289,62.6349983215332,55.183406829833984,80.95338439941406,22.246000289916992
2018-01-10,40.779144287109375,62.71649932861328,55.05199432373047,80.5863265991211,22.31999969482422
2018-01-11,41.010772705078125,63.83399963378906,55.14671325683594,80.82491302490234,22.530000686645508
2018-01-12,41.434261322021484,65.26000213623047,56.069091796875,82.2197265625,22.4146671295166
2018-01-16,41.223690032958984,65.24299621582031,56.07156753540039,81.07266998291016,22.67066764831543
2018-01-17,41.90454864501953,64.75,56.488121032714844,82.71524810791016,23.143999099731445
2018-01-18,41.941978454589844,64.66600036621094,56.33291244506836,82.67852783203125,22.971332550048828
2018-01-19,41.75482177734375,64.72899627685547,56.706321716308594,82.58676147460938,23.334667205810547
2018-01-22,41.413211822509766,66.3655014038086,57.730857849121094,84.06414031982422,23.437332153320312
2018-01-23,41.422569274902344,68.12699890136719,58.3264274597168,84.33024597167969,23.519332885742188
2018-01-24,40.76277160644531,67.87550354003906,58.08442687988281,84.25685119628906,23.05933380126953
2018-01-25,40.03511428833008,68.89749908447266,58.62248229980469,84.724853515625,22.50933265686035
2018-01-26,40.12870788574219,70.10250091552734,58.891258239746094,86.31233978271484,22.856666564941406
2018-01-29,39.29808044433594,70.88400268554688,58.83770751953125,86.18386840820312,23.302000045776367
2018-01-30,39.06645965576172,71.89099884033203,58.38593292236328,85.10107421875,23.05466651916504
2018-01-31,39.17407989501953,72.54450225830078,58.62645721435547,87.18406677246094,23.62066650390625
2018-02-01,39.25597381591797,69.5,58.59520721435547,86.49589538574219,23.28333282470703
2018-02-02,37.552650451660156,71.49749755859375,55.50128173828125,84.22013854980469,22.916667938232422
2018-02-05,36.61442947387695,69.5,52.68406677246094,80.75150299072266,22.208667755126953
2018-02-06,38.144596099853516,72.14199829101562,53.77703857421875,83.80722045898438,22.264667510986328
2018-02-07,37.32803726196289,70.83899688720703,52.33792495727539,82.2288818359375,23.0
2018-02-08,36.300907135009766,67.5250015258789,49.97248077392578,78.00778198242188,21.01533317565918
2018-02-09,36.744903564453125,66.9800033569336,51.88467025756836,80.91667175292969,20.69466781616211
2018-02-12,38.22496032714844,69.3115005493164,52.295780181884766,81.78840637207031,21.048667907714844
2018-02-13,38.60787582397461,70.72550201416016,52.27494430541992,82.43077850341797,21.577333450317383
2018-02-14,39.31970977783203,72.55249786376953,53.19533920288086,83.72147369384766,21.487333297729492
2018-02-15,40.63999938964844,73.08799743652344,54.120697021484375,85.4271011352539,22.271333694458008
2018-02-16,40.50843048095703,72.43450164794922,54.32600402832031,84.81861877441406,22.365999221801758
2018-02-20,40.37217712402344,73.4175033569336,54.727176666259766,85.4823989868164,22.31800079345703
2018-02-21,40.188934326171875,74.14600372314453,55.231014251708984,84.34840393066406,22.219999313354492
2018-02-22,40.52488327026367,74.26699829101562,55.040096282958984,84.56965637207031,23.077999114990234
2018-02-23,41.22966003417969,75.0,55.942142486572266,86.7177963256836,23.469999313354492
2018-02-26,42.04487609863281,76.09750366210938,56.716243743896484,87.97164154052734,23.827999114990234
2018-02-27,41.90860366821289,75.5989990234375,55.4174690246582,86.84687805175781,23.39933204650879
2018-02-28,41.84516906738281,75.62249755859375,54.74354553222656,86.4504165649414,22.87066650390625
2018-03-01,41.112205505371094,74.67250061035156,53.13137435913086,85.60225677490234,22.062000274658203
2018-03-02,41.3964729309082,75.01249694824219,53.76264572143555,85.78662109375,22.341333389282227
2018-03-05,41.539772033691406,76.18049621582031,54.28929901123047,86.33056640625,22.22333335876465
2018-03-06,41.50452423095703,76.88200378417969,54.593788146972656,86.03555297851562,21.8799991607666
2018-03-07,41.11925506591797,77.25,55.29498291015625,86.53341674804688,22.15333366394043
2018-03-08,41.56795883178711,77.59300231933594,56.00611114501953,87.05889892578125,21.940000534057617
2018-03-09,42.28213882446289,78.94450378417969,57.56621170043945,89.00421142578125,21.81133270263672
2018-03-12,42.69091033935547,79.91950225830078,57.81863021850586,89.21627044677734,23.034000396728516
2018-03-13,42.27978515625,79.40899658203125,56.52829360961914,87.04048919677734,22.78933334350586
2018-03-14,41.920345306396484,79.55000305175781,56.973609924316406,86.52416229248047,21.775333404541016
2018-03-15,41.96968078613281,79.11599731445312,57.05891036987305,86.82844543457031,21.706666946411133
2018-03-16,41.82167434692383,78.58399963378906,56.256046295166016,87.21563720703125,21.42333221435547
2018-03-19,41.18267822265625,77.24649810791016,54.5526237487793,85.63912963867188,20.90399932861328
